Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
0,Dueling-DQN,1,6,0,11.000000,11.000000
1,Dueling-DQN,1,6,0,9.000000,10.000000
2,Dueling-DQN,1,6,0,10.000000,10.000000
3,Dueling-DQN,1,6,0,18.000000,12.000000
4,Dueling-DQN,1,6,0,22.000000,14.000000
5,Dueling-DQN,1,6,0,15.000000,14.166667
6,Dueling-DQN,1,6,0,16.000000,14.428571
7,Dueling-DQN,1,6,0,13.000000,14.250000
8,Dueling-DQN,1,6,0,18.000000,14.666667
9,Dueling-DQN,1,6,0,20.000000,15.200000
10,Dueling-DQN,1,6,0,26.000000,16.181818
11,Dueling-DQN,1,6,0,21.000000,16.583333
12,Dueling-DQN,1,6,0,16.000000,16.538462
13,Dueling-DQN,1,6,0,9.000000,16.000000
14,Dueling-DQN,1,6,0,10.000000,15.600000
15,Dueling-DQN,1,6,0,10.000000,15.250000
16,Dueling-DQN,1,6,0,9.000000,14.882353
17,Dueling-DQN,1,6,0,9.000000,14.555556
18,Dueling-DQN,1,6,0,15.000000,14.578947
19,Dueling-DQN,1,6,0,12.000000,14.450000
0,Dueling-DQN,1,6,1,15.000000,15.000000
1,Dueling-DQN,1,6,1,18.000000,16.500000
2,Dueling-DQN,1,6,1,12.000000,15.000000
3,Dueling-DQN,1,6,1,9.000000,13.500000
4,Dueling-DQN,1,6,1,11.000000,13.000000
5,Dueling-DQN,1,6,1,14.000000,13.166667
6,Dueling-DQN,1,6,1,13.000000,13.142857
7,Dueling-DQN,1,6,1,9.000000,12.625000
8,Dueling-DQN,1,6,1,27.000000,14.222222
9,Dueling-DQN,1,6,1,19.000000,14.700000
10,Dueling-DQN,1,6,1,12.000000,14.454545
11,Dueling-DQN,1,6,1,9.000000,14.000000
12,Dueling-DQN,1,6,1,11.000000,13.769231
13,Dueling-DQN,1,6,1,9.000000,13.428571
14,Dueling-DQN,1,6,1,12.000000,13.333333
15,Dueling-DQN,1,6,1,11.000000,13.187500
16,Dueling-DQN,1,6,1,12.000000,13.117647
17,Dueling-DQN,1,6,1,11.000000,13.000000
18,Dueling-DQN,1,6,1,13.000000,13.000000
19,Dueling-DQN,1,6,1,17.000000,13.200000
0,Dueling-DQN,1,6,2,11.000000,11.000000
1,Dueling-DQN,1,6,2,11.000000,11.000000
2,Dueling-DQN,1,6,2,12.000000,11.333333
3,Dueling-DQN,1,6,2,47.000000,20.250000
4,Dueling-DQN,1,6,2,13.000000,18.800000
5,Dueling-DQN,1,6,2,13.000000,17.833333
6,Dueling-DQN,1,6,2,24.000000,18.714286
7,Dueling-DQN,1,6,2,12.000000,17.875000
8,Dueling-DQN,1,6,2,14.000000,17.444444
9,Dueling-DQN,1,6,2,14.000000,17.100000
10,Dueling-DQN,1,6,2,10.000000,16.454545
11,Dueling-DQN,1,6,2,15.000000,16.333333
12,Dueling-DQN,1,6,2,12.000000,16.000000
13,Dueling-DQN,1,6,2,9.000000,15.500000
14,Dueling-DQN,1,6,2,10.000000,15.133333
15,Dueling-DQN,1,6,2,9.000000,14.750000
16,Dueling-DQN,1,6,2,18.000000,14.941176
17,Dueling-DQN,1,6,2,12.000000,14.777778
18,Dueling-DQN,1,6,2,14.000000,14.736842
19,Dueling-DQN,1,6,2,13.000000,14.650000
0,Dueling-DQN,1,12,0,15.000000,15.000000
1,Dueling-DQN,1,12,0,9.000000,12.000000
2,Dueling-DQN,1,12,0,15.000000,13.000000
3,Dueling-DQN,1,12,0,16.000000,13.750000
4,Dueling-DQN,1,12,0,13.000000,13.600000
5,Dueling-DQN,1,12,0,10.000000,13.000000
6,Dueling-DQN,1,12,0,15.000000,13.285714
7,Dueling-DQN,1,12,0,9.000000,12.750000
8,Dueling-DQN,1,12,0,14.000000,12.888889
9,Dueling-DQN,1,12,0,10.000000,12.600000
10,Dueling-DQN,1,12,0,9.000000,12.272727
11,Dueling-DQN,1,12,0,21.000000,13.000000
12,Dueling-DQN,1,12,0,15.000000,13.153846
13,Dueling-DQN,1,12,0,12.000000,13.071429
